BinomialName,ID_EoL
Addax nasomaculatus,331074
Aepyceros melampus,308540
Alcelaphus buselaphus,308529
Alcelaphus lichtensteinii,308535
Alces alces,328654
Ammodorcas clarkei,308536
Ammotragus lervia,328662
Antidorcas marsupialis,308537
Antilocapra americana,328661
Antilope cervicapra,311909
Axis axis,313989
Axis calamianensis,308522
Axis kuhlii,308520
Axis porcinus,308521
Babyrousa babyrussa,328330
Beatragus hunteri,308533
Bison bison,328109
Bison bonasus,328110
Blastocerus dichotomus,308478
Boselaphus tragocamelus,311908
Bos grunniens,328700
Bos javanicus,1037711
Bos sauveli,328706
Bubalus depressicornis,328727
Bubalus mindorensis,328729
Bubalus quarlesi,328730
Budorcas taxicolor,1038793
Camelus bactrianus,344581
Camelus dromedarius,309019
Capra caucasica,328690
Capra falconeri,328691
Capra hircus,328660
Capra ibex,328692
Capra nubiana,328693
Capra pyrenaica,328694
Capra sibirica,328695
Capra walie,328696
Capreolus capreolus,308479
Capreolus pygargus,129573
Capricornis crispus,1038800
Capricornis milneedwardsii,7216318
Capricornis sumatraensis,1038801
Capricornis swinhoei,1038802
Catagonus wagneri,328336
Cephalophus adersi,328701
Cephalophus callipygus,328702
Cephalophus dorsalis,328703
Cephalophus jentinki,328713
Cephalophus leucogaster,328714
Cephalophus natalensis,328704
Cephalophus niger,328709
Cephalophus nigrifrons,328720
Cephalophus ogilbyi,328719
Cephalophus rufilatus,328721
Cephalophus silvicultor,328708
Cephalophus spadix,328722
Cephalophus weynsi,328723
Cephalophus zebra,328710
Ceratotherium simum,311503
Cervus elaphus,328649
Cervus nippon,328650
Connochaetes gnou,308530
Connochaetes taurinus,308531
Dama dama,308402
Damaliscus lunatus,308534
Damaliscus pygargus,308532
Dicerorhinus sumatrensis,311504
Diceros bicornis,311501
Dorcatragus megalotis,308538
Elaphodus cephalophus,308480
Elaphurus davidianus,308403
Equus asinus,328647
Equus burchellii,47186326
Equus grevyi,129473
Equus hemionus,311505
Equus kiang,311506
Equus zebra,129474
Eudorcas rufifrons,129515
Eudorcas thomsonii,129521
Gazella bennettii,308550
Gazella cuvieri,311406
Gazella dorcas,129511
Gazella gazella,129512
Gazella leptoceros,129514
Gazella saudiya,129517
Gazella spekei,129519
Gazella subgutturosa,129520
Giraffa camelopardalis,308378
Hemitragus hylocrius,1038794
Hemitragus jayakari,1038795
Hemitragus jemlahicus,1038796
Hexaprotodon liberiensis,317313
Hippocamelus antisensis,129566
Hippocamelus bisulcus,310354
Hippopotamus amphibius,47360174
Hippotragus equinus,331075
Hippotragus niger,331077
Hydropotes inermis,308404
Hyemoschus aquaticus,328337
Hylochoerus meinertzhageni,328333
Kobus ellipsiprymnus,328724
Kobus kob,328731
Kobus leche,328712
Kobus megaceros,328725
Kobus vardonii,328726
Litocranius walleri,129522
Madoqua guentheri,311497
Madoqua kirkii,311498
Madoqua piacentinii,311495
Madoqua saltiana,311494
Mazama americana,129605
Mazama bricenii,129581
Mazama chunyi,129582
Mazama gouazoubira,129579
Mazama nana,129580
Mazama rufina,129577
Moschiola meminna,328338
Moschus berezovskii,328123
Moschus chrysogaster,328122
Moschus fuscus,311508
Moschus moschiferus,328320
Muntiacus atherodes,308400
Muntiacus crinifrons,308401
Muntiacus feae,308384
Muntiacus gongshanensis,308393
Muntiacus muntjak,308397
Muntiacus reevesi,308477
Muntiacus vuquangensis,2924686
Naemorhedus baileyi,1038797
Naemorhedus caudatus,1038798
Naemorhedus goral,1038799
Nanger dama,129508
Nanger granti,129513
Nanger soemmerringii,129518
Neotragus batesi,311492
Neotragus moschatus,311493
Neotragus pygmaeus,311538
Odocoileus hemionus,328651
Odocoileus virginianus,328652
Okapia johnstoni,308387
Oreamnos americanus,328659
Oreotragus oreotragus,331065
Oryx beisa,4447253
Oryx dammah,331078
Oryx gazella,331079
Oryx leucoryx,331080
Ourebia ourebi,344589
Ovibos moschatus,328656
Ovis ammon,328677
Ovis aries,328679
Ovis canadensis,328658
Ovis dalli,328657
Ovis nivicola,328678
Ozotoceros bezoarticus,129578
Pantholops hodgsonii,344584
Pecari tajacu,1037712
Pelea capreolus,331081
Phacochoerus aethiopicus,328331
Phacochoerus africanus,328332
Philantomba maxwelli,328715
Philantomba maxwellii,328715
Philantomba monticola,328716
Potamochoerus larvatus,328334
Potamochoerus porcus,328335
Procapra gutturosa,344585
Procapra picticaudata,1038777
Procapra przewalskii,1038778
Przewalskium albirostris,49410484
Pseudois nayaur,1038776
Pseudois schaeferi,344583
Pseudoryx nghetinhensis,2925803
Pudu mephistophiles,129576
Pudu puda,129574
Rangifer tarandus,328653
Raphicerus campestris,1038779
Raphicerus melanotis,1038780
Raphicerus sharpei,1038781
Redunca arundinum,331082
Redunca fulvorufula,331083
Redunca redunca,331084
Rhinoceros sondaicus,328342
Rhinoceros unicornis,129475
Rucervus duvauceli,308523
Rucervus duvaucelii,308523
Rucervus eldi,308524
Rucervus eldii,308524
Rupicapra pyrenaica,344582
Rupicapra rupicapra,331073
Rusa alfredi,308507
Rusa marianna,313990
Rusa timorensis,999298
Rusa unicolor,290025
Saiga tatarica,1038782
Sus barbatus,328321
Sus bucculentus,328322
Sus cebifrons,328323
Sus celebensis,328325
Sus philippensis,328326
Sus salvanius,328327
Sus scrofa,328663
Sus verrucosus,328329
Sylvicapra grimmia,328711
Syncerus caffer,328707
Tapirus bairdii,47187256
Tapirus indicus,49149276
Tapirus pinchaque,129472
Tapirus terrestris,328009
Taurotragus derbianus,1038783
Taurotragus oryx,1038784
Tayassu pecari,357663
Tetracerus quadricornis,1038785
Tragelaphus angasii,1038786
Tragelaphus buxtoni,1038787
Tragelaphus eurycerus,1038788
Tragelaphus imberbis,1038789
Tragelaphus scriptus,1038790
Tragelaphus spekii,1038791
Tragelaphus strepsiceros,1038792
Tragulus javanicus,328339
Tragulus kanchil,32137235
Tragulus napu,328340
Vicugna vicugna,309016
